iter	Logloss
0	0.6604627365
1	0.630309674
2	0.6067108302
3	0.5874022773
4	0.56743165
5	0.5456908794
6	0.5298651875
7	0.5139455754
8	0.5007854545
9	0.4893014035
10	0.4784153284
11	0.4700676611
12	0.4621626685
13	0.4540895451
14	0.4454697377
15	0.4391174992
16	0.4332188148
17	0.4272600881
18	0.421202016
19	0.4158323953
20	0.4105434359
21	0.4057733832
22	0.4016336081
23	0.3981754707
24	0.3949996925
25	0.3923713376
26	0.389901983
27	0.3870865414
28	0.3839904572
29	0.3819156823
30	0.3800342644
31	0.3771188344
32	0.3750289033
33	0.3730287023
34	0.371191462
35	0.3693875558
36	0.3678287125
37	0.3663768798
38	0.3652864585
39	0.3635492654
40	0.3625808522
41	0.3616274202
42	0.3599633879
43	0.3587663508
44	0.3578818081
45	0.3570983422
46	0.3561420324
47	0.3549917957
48	0.3542243834
49	0.3531473003
50	0.3519095866
51	0.3507756968
52	0.3501475897
53	0.3492229904
54	0.348262974
55	0.3474189473
56	0.3467486428
57	0.3458980616
58	0.3454359406
59	0.344334575
60	0.3435896634
61	0.3430470415
62	0.3426060041
63	0.3419798875
64	0.3412687305
65	0.3407919951
66	0.3405104711
67	0.3398425828
68	0.3394972149
69	0.3387083239
70	0.3383466281
71	0.3373039462
72	0.3369768386
73	0.3369400384
74	0.3363935923
75	0.3351353676
76	0.3346836476
77	0.3344497713
78	0.3332852827
79	0.3329399083
80	0.3326290447
81	0.3323119231
82	0.3318120911
83	0.3311992679
84	0.3309417223
85	0.330569343
86	0.3303240387
87	0.3299318504
88	0.3297929799
89	0.3293730833
90	0.3288563982
91	0.3286421327
92	0.32819418
93	0.3278648902
94	0.327555242
95	0.3272169504
96	0.3268322369
97	0.326769542
98	0.3267378401
99	0.3266184875
100	0.3260613042
101	0.325945594
102	0.3257682811
103	0.325639954
104	0.3253417124
105	0.3253047356
106	0.3251819918
107	0.3243549274
108	0.3243320287
109	0.3242037022
110	0.3236993987
111	0.3235692093
112	0.3232024486
113	0.3223611199
114	0.3221304939
115	0.322090108
116	0.3216628803
117	0.3215036482
118	0.3213855068
119	0.3207812061
120	0.3207654667
121	0.3205470444
122	0.3201708706
123	0.3197142528
124	0.3192797423
125	0.3192170917
126	0.3192097229
127	0.3191408622
128	0.3183878667
129	0.3183320167
130	0.3181538715
131	0.3177706704
132	0.3173732435
133	0.3173716815
134	0.3170025762
135	0.316721123
136	0.3166599286
137	0.316363251
138	0.3157947976
139	0.3156468478
140	0.315579936
141	0.3148842932
142	0.3143629494
143	0.3137491128
144	0.3137012962
145	0.3136219286
146	0.3135784724
147	0.3133264773
148	0.3128052827
149	0.3125569796
150	0.312250911
151	0.3122208661
152	0.3121448706
153	0.3118519845
154	0.3116364644
155	0.3111879425
156	0.3106335672
157	0.3104789106
158	0.310111342
159	0.3094529434
160	0.3093576903
161	0.3091335438
162	0.3090855998
163	0.3088862893
164	0.3088588378
165	0.308666745
166	0.3086338477
167	0.3086253388
168	0.3081032304
169	0.3080378826
170	0.3079752386
171	0.3079380223
172	0.3079153112
173	0.3077094429
174	0.3071725069
175	0.3071333429
176	0.3070749844
177	0.3067713767
178	0.3066250129
179	0.3059730489
180	0.3056728742
181	0.3053975746
182	0.3052364776
183	0.3052213097
184	0.3048499836
185	0.3047657444
186	0.3045661862
187	0.3044251258
188	0.3040423334
189	0.3039584166
190	0.3039213458
191	0.3039208837
192	0.3034492004
193	0.303274818
194	0.3032738698
195	0.3030643113
196	0.3029744413
197	0.3025774914
198	0.3022569318
199	0.3021258704
200	0.3019326086
201	0.3016678502
202	0.301644636
203	0.3011490388
204	0.3010107868
205	0.3008495854
206	0.3006474534
207	0.3005610923
208	0.3001426646
209	0.2996754883
210	0.2996577065
211	0.2992282376
212	0.2991014237
